Epoch,Total Loss,Heatmap Loss,Regression Loss,Learning Rate
1,285.215023,284.931567,2.834573,4.231141e-05
2,2.645161,2.452123,1.930377,4.922337e-05
3,1.104322,0.941473,1.628487,6.066932e-05
4,1.020919,0.872259,1.486602,7.653903e-05
5,0.971657,0.831767,1.398908,9.667965e-05
6,0.932156,0.798631,1.335249,1.208972e-04
7,0.881158,0.752198,1.289592,1.489585e-04
8,0.842240,0.717631,1.246093,1.805932e-04
9,0.820739,0.699723,1.210164,2.154967e-04
10,0.801534,0.683896,1.176387,2.533328e-04
11,0.791574,0.675752,1.158216,2.937372e-04
12,0.782368,0.668429,1.139389,3.363207e-04
13,0.768992,0.657219,1.117738,3.806731e-04
14,0.758035,0.648003,1.100323,4.263675e-04
15,0.753038,0.644385,1.086528,4.729635e-04
16,0.740116,0.632939,1.071766,5.200126e-04
17,0.733479,0.627700,1.057796,5.670615e-04
18,0.729683,0.624839,1.048438,6.136572e-04
19,0.720905,0.617045,1.038596,6.593510e-04
20,0.715304,0.612768,1.025359,7.037026e-04
21,0.710209,0.608685,1.015242,7.462850e-04
22,0.704683,0.603868,1.008147,7.866881e-04
23,0.695019,0.595626,0.993932,8.245228e-04
24,0.690928,0.592217,0.987112,8.594246e-04
25,0.690250,0.591791,0.984586,8.910575e-04
26,0.687613,0.590182,0.974315,9.191168e-04
27,0.682145,0.585563,0.965812,9.433322e-04
28,0.679093,0.583167,0.959257,9.634706e-04
29,0.673716,0.578222,0.954941,9.793380e-04
30,0.666983,0.572181,0.948016,9.907815e-04
31,0.665938,0.571778,0.941603,9.976911e-04
32,0.662515,0.569143,0.933717,1.000000e-03
33,0.657675,0.564954,0.927215,9.989283e-04
34,0.651957,0.559906,0.920507,9.957202e-04
35,0.651841,0.560333,0.915073,9.903893e-04
36,0.647283,0.556449,0.908348,9.829585e-04
37,0.642325,0.552138,0.901869,9.734595e-04
38,0.642521,0.552470,0.900510,9.619332e-04
39,0.637194,0.547843,0.893513,9.484288e-04
40,0.631671,0.542910,0.887614,9.330042e-04
41,0.629348,0.540885,0.884630,9.157254e-04
42,0.630657,0.543086,0.875715,8.966664e-04
43,0.624554,0.537190,0.873635,8.759089e-04
44,0.623930,0.536911,0.870187,8.535416e-04
45,0.619338,0.533153,0.861848,8.296604e-04
46,0.613304,0.527785,0.855193,8.043676e-04
47,0.612540,0.527210,0.853304,7.777715e-04
48,0.614055,0.528706,0.853488,7.499859e-04
49,0.607570,0.522839,0.847311,7.211298e-04
50,0.603575,0.519614,0.839610,6.913268e-04
51,0.602970,0.519337,0.836337,6.607045e-04
52,0.599353,0.516178,0.831749,6.293941e-04
53,0.594738,0.512115,0.826234,5.975296e-04
54,0.591873,0.509755,0.821186,5.652475e-04
55,0.589081,0.507309,0.817714,5.326860e-04
56,0.589824,0.508412,0.814115,4.999845e-04
57,0.584740,0.503889,0.808512,4.672831e-04
58,0.581559,0.501226,0.803327,4.347218e-04
59,0.579016,0.499093,0.799226,4.024401e-04
60,0.576104,0.496478,0.796255,3.705761e-04
61,0.573080,0.494128,0.789522,3.392663e-04
62,0.572485,0.493676,0.788094,3.086449e-04
63,0.570184,0.491799,0.783860,2.788429e-04
64,0.564111,0.486296,0.778152,2.499879e-04
65,0.565042,0.487546,0.774956,2.222035e-04
66,0.559491,0.482319,0.771717,1.956086e-04
67,0.560802,0.483883,0.769193,1.703173e-04
68,0.558003,0.481544,0.764587,1.464377e-04
69,0.554741,0.478790,0.759510,1.240721e-04
70,0.552993,0.476858,0.761351,1.033163e-04
71,0.551662,0.475865,0.757973,8.425914e-05
72,0.550743,0.475457,0.752859,6.698229e-05
73,0.546920,0.471612,0.753089,5.155969e-05
74,0.549150,0.473908,0.752424,3.805739e-05
75,0.548250,0.473156,0.750944,2.653321e-05
76,0.547271,0.472405,0.748655,1.703649e-05
77,0.545227,0.470496,0.747304,9.607909e-06
78,0.546503,0.471692,0.748117,4.279270e-06
79,0.546385,0.471562,0.748235,1.073390e-06
80,0.546172,0.471537,0.746346,4.000306e-09
